['9', '-12', '9', '-5']
['8', '-7', '12', '-2']
['5', '-14', '17', '2']
['1', '18', '16', '-1']
['0', '12', '3', '4']
['2', '-11', '6', '1']
['6', '-20', '9', '-1']
['3', '-12', '17', '-5']
['4', '0', '12', '-5']
['2', '18', '6', '2']
['9', '14', '3', '2']
['7', '16', '9', '1']
['8', '-19', '18', '-5']
['5', '-18', '8', '3']
['6', '-9', '16', '3']
['7', '16', '6', '2']
['4', '-19', '12', '-1']
['7', '-9', '11', '4']
['0', '9', '6', '-5']
['4', '12', '13', '4']
['8', '-9', '18', '-4']
['2', '0', '13', '-1']
['0', '0', '18', '-4']
['2', '-12', '9', '-4']
['3', '-9', '19', '-5']
['5', '-20', '13', '3']
['8', '15', '19', '4']
['2', '15', '16', '-3']
['7', '-7', '11', '-3']
['6', '9', '11', '1']
['7', '-20', '8', '2']
['1', '-20', '5', '0']
['0', '-12', '1', '-3']
['6', '-8', '1', '3']
['0', '-9', '17', '1']
['3', '11', '2', '-2']
['6', '-6', '8', '-5']
['2', '-8', '8', '-3']
['0', '15', '19', '0']
['8', '-3', '13', '4']
['7', '7', '15', '-1']
['4', '-13', '19', '2']
['6', '6', '6', '-2']
['4', '11', '19', '4']
['7', '-17', '11', '3']
['4', '-17', '19', '0']
['8', '15', '3', '3']
['6', '17', '17', '-2']
['9', '7', '2', '-2']
['3', '-7', '13', '-2']
['5', '14', '3', '3']
['5', '-2', '9', '0']
['4', '-11', '14', '3']
['7', '10', '3', '4']
['8', '-18', '9', '-2']
['9', '19', '9', '-2']
['4', '-13', '16', '2']
['5', '-16', '14', '-4']
['0', '1', '13', '2']
['1', '11', '9', '-3']
['0', '11', '3', '-5']
['8', '-11', '3', '-4']
['0', '-4', '9', '-1']
['0', '-6', '5', '0']
['7', '8', '6', '-2']
['3', '-16', '9', '2']
['6', '12', '6', '-1']
['7', '-12', '12', '-3']
['6', '11', '16', '3']
['3', '-19', '4', '-1']
['5', '-4', '13', '2']
['2', '-19', '18', '2']
['4', '-4', '6', '0']
['8', '10', '10', '-3']
['3', '11', '9', '-3']
['0', '14', '14', '-1']
['3', '-16', '17', '-4']
['7', '1', '3', '2']
['8', '-10', '14', '-2']
['4', '19', '18', '2']
['3', '-11', '9', '-5']
['8', '18', '9', '-3']
['8', '-3', '16', '-4']
['6', '-1', '6', '-2']
['6', '-14', '15', '-1']
['3', '-14', '15', '-1']
['4', '-13', '19', '2']
['6', '-2', '19', '1']
['5', '-5', '5', '1']
['4', '-9', '6', '-3']
['9', '-10', '10', '4']
['8', '-17', '18', '-4']
['4', '-16', '16', '-1']
['2', '8', '2', '-5']
['1', '-13', '6', '-2']
['8', '15', '1', '-3']
['9', '3', '19', '0']
['5', '0', '1', '-4']
['4', '-6', '6', '1']
['8', '17', '12', '4']
['3', '-20', '3', '1']
['6', '2', '4', '-5']
['1', '7', '17', '0']
['3', '17', '4', '-2']
['0', '0', '1', '1']
['1', '7', '5', '-2']
['5', '12', '4', '-2']
['8', '12', '6', '-5']
['0', '9', '11', '3']
['8', '18', '7', '4']
['3', '-14', '19', '-3']
['3', '-11', '4', '-2']
['7', '14', '3', '0']
['3', '10', '1', '0']
['5', '-5', '10', '-4']
['1', '15', '1', '0']
['7', '-11', '2', '1']
['8', '-17', '3', '3']
['9', '-13', '4', '-3']
['4', '14', '5', '-4']
['3', '13', '9', '0']
['0', '-20', '2', '4']
['0', '-14', '6', '-5']
['9', '-6', '1', '3']
['0', '-9', '5', '-3']
['6', '18', '5', '-5']
['5', '19', '9', '2']
['9', '-15', '12', '4']
['9', '0', '17', '-5']
['9', '-11', '2', '-4']
['4', '-6', '9', '-5']
['2', '-7', '1', '-5']
['8', '-16', '17', '2']
['5', '-13', '15', '3']
['6', '8', '8', '4']
['9', '2', '1', '2']
['7', '14', '2', '3']
['4', '0', '19', '-3']
['0', '-13', '8', '0']
['5', '-12', '7', '2']
['2', '-7', '16', '2']
['7', '-7', '5', '3']
['5', '12', '7', '1']
['5', '-3', '19', '-2']
['8', '-4', '13', '-4']
['9', '-14', '18', '-3']
['8', '-5', '3', '-5']
['3', '2', '9', '-2']
['7', '-2', '2', '3']
['0', '-5', '14', '2']
['4', '-9', '18', '2']
['3', '-5', '2', '4']
['1', '-10', '15', '-5']
['7', '-16', '9', '-4']
['7', '2', '19', '2']
['4', '1', '3', '4']
['9', '-15', '15', '3']
['7', '5', '12', '-5']
['0', '-8', '1', '2']
['9', '8', '5', '0']
['0', '7', '12', '-4']
['4', '-18', '11', '-2']
['4', '3', '9', '-2']
['7', '-18', '17', '2']
['5', '-9', '19', '-1']
['7', '-5', '13', '0']
['2', '4', '5', '-1']
['2', '12', '10', '-4']
['1', '15', '17', '2']
['6', '-16', '19', '3']
['0', '-9', '9', '-1']
['5', '-5', '4', '4']
['9', '-4', '18', '-3']
['6', '12', '17', '2']
['7', '-17', '9', '-3']
['1', '1', '13', '1']
['0', '-10', '8', '-1']
['8', '-13', '3', '-1']
['8', '-4', '15', '-4']
['8', '-3', '18', '-3']
['2', '-3', '7', '4']
['1', '7', '7', '-1']
['7', '5', '7', '-1']
['5', '-17', '19', '2']
['1', '-18', '1', '3']
['9', '3', '11', '-2']
['6', '1', '16', '-2']
['9', '5', '2', '-5']
['5', '5', '4', '0']
['1', '-20', '9', '-5']
['0', '6', '8', '-5']
['1', '3', '4', '-1']
['1', '13', '12', '-3']
['4', '2', '9', '-2']
['8', '1', '16', '2']
['1', '9', '14', '-4']
['3', '12', '3', '4']
['6', '19', '5', '-2']
['1', '5', '3', '-3']
['2', '-5', '10', '-5']
['9', '11', '2', '0']
['4', '-16', '9', '-3']
['6', '9', '11', '-4']
['2', '1', '18', '-2']
['9', '-3', '12', '4']
['3', '16', '10', '0']
['0', '-9', '17', '4']
['4', '6', '5', '-4']
['8', '-6', '16', '-1']
['5', '-11', '3', '-5']
['3', '9', '3', '0']
['3', '-17', '8', '4']
['8', '-1', '17', '1']
['4', '-1', '1', '-3']
['4', '-12', '9', '-3']
['8', '-19', '4', '-3']
['0', '-9', '12', '4']
['2', '19', '5', '1']
['8', '-9', '14', '-2']
['2', '-5', '14', '-2']
['1', '-20', '13', '-3']
['4', '-19', '12', '3']
['8', '19', '1', '-3']
['8', '9', '12', '3']
['9', '10', '10', '-3']
['7', '13', '19', '3']
['2', '3', '19', '-2']
['6', '-3', '15', '-2']
['4', '-5', '15', '0']
['4', '14', '11', '-1']
['9', '-7', '17', '1']
['2', '-5', '11', '0']
['0', '11', '18', '-3']
['5', '-10', '12', '-3']
['3', '8', '18', '0']
['7', '0', '10', '-2']
['7', '13', '17', '-4']
['5', '-13', '6', '-3']
['5', '14', '16', '-4']
['6', '6', '8', '3']
['4', '-15', '10', '-2']
['2', '19', '4', '4']
['1', '-17', '16', '4']
['3', '19', '16', '-2']
['2', '-1', '8', '-2']
['6', '-19', '3', '-4']
['4', '15', '14', '1']
['8', '0', '17', '-2']
['0', '5', '13', '-2']
['9', '-7', '3', '-3']
['3', '7', '7', '-2']
['3', '-4', '15', '-5']
['4', '6', '14', '-3']
['0', '-20', '4', '0']
['3', '17', '19', '1']
['7', '12', '9', '-1']
['2', '8', '19', '-2']
['6', '-10', '18', '-2']
['6', '-13', '4', '3']
['5', '-14', '17', '2']
['5', '16', '2', '4']
['0', '18', '3', '1']
['4', '-12', '16', '2']
['4', '-4', '5', '-1']
['4', '-7', '12', '-3']
['4', '-20', '8', '-1']
['1', '17', '12', '2']
['3', '10', '1', '0']
