['0', '7', '12', '7', '3']
['6', '6', '14', '5', '10']
['0', '9', '6', '-3', '10']
['6', '-1', '14', '1', '4']
['9', '4', '2', '-9', '11']
['8', '-2', '16', '-5', '12']
['1', '9', '18', '11', '10']
['13', '2', '12', '7', '15']
['0', '-2', '8', '3', '14']
['3', '0', '6', '5', '8']
['9', '8', '16', '-5', '4']
['5', '-5', '16', '-11', '8']
['0', '9', '8', '-9', '2']
['6', '0', '2', '-1', '7']
['10', '5', '6', '-3', '7']
['12', '3', '6', '1', '12']
['8', '6', '14', '3', '5']
['12', '0', '14', '3', '4']
['10', '2', '16', '-5', '11']
['14', '-3', '14', '-7', '5']
['7', '-2', '16', '-9', '8']
['8', '7', '4', '7', '9']
['12', '-4', '16', '7', '5']
['12', '1', '4', '-7', '11']
['3', '-1', '4', '5', '10']
['14', '-4', '10', '11', '6']
['3', '9', '12', '15', '5']
['11', '-4', '16', '5', '10']
['10', '-3', '14', '1', '4']
['13', '-1', '16', '3', '3']
['4', '-5', '10', '-3', '8']
['2', '-3', '10', '-5', '2']
['10', '0', '2', '7', '10']
['8', '5', '10', '-11', '14']
['13', '1', '16', '7', '10']
['4', '-4', '8', '11', '13']
['13', '2', '18', '-11', '12']
['1', '2', '6', '17', '2']
['10', '0', '2', '1', '15']
['13', '5', '12', '17', '13']
['11', '-1', '18', '7', '12']
['9', '-1', '8', '-7', '9']
['4', '9', '14', '-11', '3']
['14', '-1', '2', '11', '9']
['13', '2', '18', '-5', '3']
['13', '9', '8', '1', '2']
['0', '4', '16', '13', '12']
['6', '-2', '6', '-3', '10']
['8', '5', '8', '-11', '15']
['11', '1', '10', '-3', '9']
['4', '-2', '8', '11', '10']
['3', '7', '8', '9', '8']
['13', '6', '4', '7', '13']
['3', '8', '12', '-11', '4']
['3', '4', '6', '5', '4']
['10', '-4', '4', '11', '11']
['9', '-4', '8', '-7', '13']
['3', '-5', '18', '7', '6']
['10', '-1', '2', '-9', '14']
['11', '7', '12', '11', '9']
['6', '1', '1', '-9', '4']
['1', '7', '2', '13', '9']
['5', '6', '12', '15', '11']
['11', '8', '16', '1', '15']
['10', '7', '8', '-7', '9']
['12', '-3', '18', '1', '13']
['10', '4', '6', '17', '4']
['10', '-1', '2', '-11', '6']
['13', '0', '16', '17', '5']
['2', '8', '16', '5', '3']
['3', '2', '16', '15', '3']
['7', '8', '10', '13', '10']
['11', '7', '12', '-11', '7']
['5', '7', '2', '-5', '15']
['8', '3', '8', '-7', '4']
['14', '-4', '10', '17', '2']
['10', '-2', '4', '-3', '8']
['3', '7', '4', '-11', '7']
['11', '3', '8', '13', '9']
['9', '7', '18', '13', '13']
['4', '6', '12', '-7', '11']
['5', '2', '16', '7', '5']
['13', '3', '6', '-1', '8']
['6', '2', '2', '15', '12']
['9', '-3', '4', '5', '3']
['10', '-1', '14', '3', '11']
['1', '0', '10', '3', '4']
['9', '4', '16', '-3', '12']
['5', '8', '6', '7', '4']
['2', '-4', '12', '-9', '12']
['13', '5', '10', '-5', '5']
['10', '-5', '16', '-5', '11']
['5', '-5', '6', '3', '4']
['12', '5', '12', '5', '10']
['3', '0', '10', '-3', '3']
['13', '2', '10', '15', '5']
['4', '-1', '8', '15', '2']
['11', '-4', '8', '17', '2']
['7', '4', '2', '1', '13']
['10', '-2', '8', '-1', '12']
['14', '5', '18', '9', '9']
['2', '2', '16', '17', '3']
['4', '-1', '6', '9', '14']
['13', '-2', '5', '-5', '4']
['8', '-3', '4', '1', '7']
['13', '-2', '2', '5', '4']
['4', '7', '6', '5', '11']
['2', '9', '4', '-11', '7']
['0', '6', '10', '13', '3']
['11', '1', '14', '9', '6']
['1', '0', '14', '-5', '7']
['7', '-2', '12', '9', '7']
['1', '7', '11', '11', '6']
['11', '-2', '10', '-1', '2']
['4', '2', '8', '11', '3']
['3', '-2', '1', '5', '15']
['14', '5', '8', '9', '8']
['10', '-3', '2', '-5', '9']
['9', '8', '4', '1', '7']
['1', '7', '18', '-1', '14']
['7', '4', '14', '11', '15']
['0', '-5', '8', '17', '4']
['5', '-4', '2', '7', '2']
['5', '7', '14', '-9', '8']
['14', '7', '10', '1', '14']
['6', '-1', '12', '13', '10']
['5', '-4', '10', '5', '7']
['8', '-3', '10', '-1', '3']
['14', '5', '12', '13', '14']
['13', '0', '6', '-1', '6']
['9', '9', '14', '-11', '15']
['1', '5', '16', '9', '5']
['14', '7', '8', '17', '3']
['1', '6', '18', '-3', '2']
['3', '7', '2', '-1', '11']
['7', '4', '9', '13', '12']
['13', '3', '14', '15', '8']
['13', '1', '10', '-3', '6']
['1', '9', '6', '13', '7']
['2', '1', '10', '1', '9']
['13', '7', '8', '11', '7']
['13', '-4', '10', '15', '10']
['11', '9', '8', '3', '15']
['1', '2', '12', '3', '2']
['1', '9', '6', '11', '14']
['10', '6', '2', '-3', '6']
['3', '5', '12', '15', '5']
['2', '9', '12', '1', '8']
['10', '-1', '18', '17', '9']
['0', '2', '10', '-7', '15']
['2', '9', '4', '9', '4']
['9', '-3', '8', '7', '2']
['11', '2', '2', '7', '6']
['14', '0', '18', '-7', '15']
['13', '3', '4', '-1', '5']
['4', '-3', '4', '-9', '8']
['8', '8', '10', '-5', '2']
['9', '0', '12', '-3', '8']
['2', '7', '16', '-1', '10']
['4', '6', '10', '13', '2']
['1', '-2', '10', '-3', '12']
['2', '-3', '4', '7', '10']
['5', '-2', '4', '1', '12']
['5', '-5', '6', '-3', '8']
['9', '-1', '10', '-2', '12']
['4', '-1', '1', '5', '3']
['6', '2', '14', '-2', '16']
['12', '-4', '1', '4', '3']
['0', '3', '5', '-5', '7']
['5', '9', '11', '4', '13']
['4', '9', '5', '-3', '7']
['4', '7', '10', '-4', '12']
['6', '3', '13', '7', '15']
['5', '1', '3', '-1', '5']
['2', '-3', '14', '9', '16']
['14', '6', '13', '7', '15']
['0', '-4', '11', '3', '13']
['9', '2', '12', '8', '14']
['5', '-4', '5', '3', '16']
['11', '-2', '4', '-2', '9']
['9', '-2', '1', '7', '2']
['3', '3', '6', '6', '7']
['11', '7', '2', '-3', '3']
['8', '-3', '16', '-9', '15']
['12', '9', '10', '7', '5']
['10', '1', '12', '7', '13']
['11', '1', '16', '13', '13']
['12', '2', '2', '15', '10']
['11', '1', '14', '1', '5']
['14', '-3', '8', '-5', '15']
['3', '-2', '10', '-1', '15']
['9', '-4', '8', '-11', '7']
['9', '3', '14', '-5', '6']
['7', '8', '2', '-3', '2']
['0', '7', '18', '-5', '9']
['14', '-1', '2', '1', '7']
['5', '3', '11', '9', '6']
['2', '-1', '6', '-3', '18']
['14', '7', '8', '-3', '14']
['6', '-3', '13', '-4', '15']
['4', '-1', '5', '1', '3']
['1', '6', '9', '6', '5']
['8', '0', '13', '-3', '6']
['14', '-4', '14', '-4', '9']
['0', '1', '10', '-4', '6']
['7', '-3', '1', '7', '10']
['13', '0', '2', '-2', '15']
['5', '5', '11', '4', '16']
['0', '-3', '12', '-1', '9']
['0', '-5', '4', '5', '12']
['11', '-2', '9', '2', '2']
['9', '8', '6', '-2', '12']
['6', '7', '12', '1', '17']
['8', '5', '4', '-4', '6']
['10', '-4', '9', '1', '9']
['1', '7', '3', '9', '7']
['11', '5', '2', '4', '15']
['0', '5', '10', '6', '2']
['9', '-1', '14', '7', '14']
['6', '-4', '5', '1', '17']
['4', '-3', '1', '3', '16']
['8', '2', '13', '-3', '2']
['4', '4', '12', '-1', '10']
['1', '9', '14', '1', '5']
['13', '4', '18', '11', '9']
['8', '2', '2', '11', '14']
